ID,FIELD_INFO_ID,PARENT_ID,FIELD_NAME_EN,FIELD_NAME_CN,TABLE_NAME,FIELD_TYPE,FIELD_LENGHT,IS_NOT_NULL,REMARK,PURPOSE,DATA_SRC,IS_MULTIPLE,ORDER_FIELD_NAME_EN
10354,19,0,EVENT_LEVEL_NAME,事件等级,mw_em_master,0,50,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10355,20,0,EVENT_STATUS,事件状态,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10356,21,0,EVENT_TIME,事件发生时间,mw_em_master,3,19,1,datetime,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10357,22,0,CANCEL_TIME,事件清除时间,mw_em_master,3,19,1,datetime,",EVENT-LIST,WARNING,","pubevent_1407,1409",0,
10358,23,0,CANCEL_STATUS,清除状态,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10359,24,0,EQP_OBJECT_NAME,设备类型,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10360,25,0,EQP_OBJECT_ID,设备类型ID,mw_em_master,5,100,1,long,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1407,0,
10361,26,0,EQUIPMENT_NAME,网元名称,mw_em_master,0,2000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10362,27,0,EQUIPMENT_IP,网元IP,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10363,28,0,VENDOR_NAME,设备厂家,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10364,29,0,EVENT_LOCATION,事件定位信息,mw_em_master,0,2000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10365,30,0,EVENT_PROBABLE_CAUSE_TXT,事件可能原因描述,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,",pubevent_1409,0,
10366,31,0,EVENT_REASON,事件定界定位,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10367,32,0,EVENT_EFFECT,事件影响,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10368,33,0,MAINTAIN_TEAM,主派维护组,mw_em_master,0,200,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10369,34,0,ORIG_ALARM_FP,告警流水号,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10370,35,0,ORIG_ALARM_CLEAR_FP,事件清除FP,mw_em_master,0,100,1,keyword,",EVENT-LIST,WARNING,",pubevent_1407,0,
10371,36,0,CORR_ALARM_FP,源关联子告警FP,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",pubevent_1407,0,
10372,37,0,EVENT_GROUP,事件网格,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,",pubevent_1407,0,
10375,40,0,CREATION_EVENT_TIME,事件发现时间,mw_em_master,3,19,1,datetime,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",system,0,
10380,45,0,FIRST_EVENT_TIME,初次事件时间,mw_em_master,3,19,1,datetime,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10381,46,0,LAST_EVENT_TIME,最新事件时间,mw_em_master,3,19,1,datetime,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10382,47,0,OPDER_STATUS,派单状态,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,",system,0,
10383,48,0,ORDER_TIME,派单时间,mw_em_master,3,19,1,datetime,",EVENT-LIST,",system,0,
10384,49,0,DISPATCH_INFO.ORDER_ID,事件工单号,mw_em_master,0,100,1,keyword,",EVENT-LIST,",system,0,
10388,53,0,PRO_ORDER_TIME,派发预警时间,mw_em_master,3,19,1,datetime,",EVENT-LIST,",system,0,
10389,54,0,PRO_ORDER_ID,预警号,mw_em_master,0,100,1,keyword,",EVENT-LIST,",system,0,
10390,55,0,EVENT_NUM,故障次数,mw_em_master,1,10,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10391,56,0,SATOTAL,计数器,mw_em_master,1,10,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10393,58,0,USER_TEXT,操作员注释,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10397,62,0,SRC_ORG_TEXT,原始事件报文,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
10398,63,0,SRC_ORG_ALARM_TEXT,原始告警报文,mw_em_master,0,5000,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10399,64,0,IS_TEST,是否测试事件,mw_em_master,5,1,1,int,",DISPATCH,DISPATCH-TIME,ABNORMAL,",system,0,
